job_title_id,job_title
372,Biomedical Sciences / Microbiology degree? Interested in sales?
373,Niche Market
374,Veterinary Sales Representative
375,Commercial Manager
376,Clinical Relations Specialist
377,Surgical Territory Manager
378,RA / QA Manager
379,Quality Officer
380,Infusion Pumps
381,Head of Food Microbiology
382,Medical Editor
383,QA Assistant
384,Exciting CRA
385,Senior Software Developer
386,Technical Product Specialist
387,Market Research Manager
388,National Sales Team Lead
389,Medical Devices Expert Validation
390,Quality Engineer Regulatory (m / w) in der Schweiz (nahe Bodensee
391,Senior Research Executive
392,CLINICAL CARDIOVASCULAR ADVISOR
393,STATISTICIAN
394,Scientific Director
395,Pharmaceutical Business Intelligence Manager
396,Graduate Medical Device Sales Representative
397,Therapy Area Lead Respiratory / Medical Affairs
398,Qualitative Research Manager
399,Principal Programmer
400,Labelling Associate (12 Month Contract)
401,Medical Research Manager
402,MSL
403,International Sales Role in Diagnostics
404,QA Automation Engineer
405,Medical Affairs Manager / Lead
406,Principal Consultant
407,Medical Science Liaison
408,EU Scientific Communications Manager
409,Sales Territory Manager
410,Clinical Support Technical Specialist
411,"Senior CRA I, Croatia"
412,Bids and Contracts Specialist
413,GMP Production Scientist
414,LEAD SAS PROGRAMMER
415,CRA Manager
416,Senior Business Analyst / Product Owner
417,Head of CMC
418,Marketing Coordinator (Scientific Products)
419,Pharma Product Manager
420,Senior & Principal Statistical Programmers
421,Head of Analytical Method Development
422,Senior CRA
423,Field Service Engineer (Scientific Analytical Systems)
424,Field Sales
425,"Pharmacovigilance Manager, (UK, Surrey)"
426,Junior Account Manager
427,Director PK / PD
428,Global Product Manager
429,Product Manager Benelux
430,Senior Global export Manager
431,Qualified Person (QP)
432,"Director, Business Development"
433,Drug Safety Officer
434,e
435,Senior Drug Safety Associate
436,Global Study Manager
437,Oncology Nurse / Infusional Nurse
438,Senior GCP Auditor / QA Manager
439,Franchise Medical Affairs Lead
440,Field Application Specialist (Sales)
441,Director & Biometrics Team Leader (Oncology)
442,Medical Sales
443,Market Access Manager
444,"QA GMP Specialist, 12 Month Contract"
445,QA PRODUCT SPECIALIST
446,Public Relations: Healthcare Account Executive
447,Healthcare Copywriter
448,Director of Vigilance
449,Senior Phage Display Selection position
450,"Manager, Safety / Pharmacovigilance"
451,Research Physician II (Hexham Hospital)
452,Medical Operations Manager
453,Passive Medical Device Auditor
454,Strategic Planner: Healthcare Advertising
455,Regional Strategic Marketing Manager (Urology
456,ONCOLOGY Biostatistician
457,SAS PROGRAMMER II
458,Entry Medical Writer
459,Healthcare Account Manager
460,Statistical Programmer II / Senior Statistical Programmer
461,Anatomic Pathologist
462,Interim Final Medical Signatory
463,Senior Manager / Associate Director IT Quality Assurance
464,"Senior Project Manager, CMC, Tech Transfer"
465,Clinical Support Manager
466,Senior Regulatory Affairs Associate x2
467,"Senior Manager, Clinical Data Management"
468,Lead Business Development
469,Global Studies Manager
470,International Observational Project Manager
471,Top Healthcare PR Firm
472,Technical Support Specialist
473,Global Mid
474,Quality Compliance
475,"Experienced Medical Pharma Sales Representative, Warwickshire"
476,Market Access Lead
477,"Industrial / Occupational Hygienist, Scotland_Homebased"
478,EMEA Medical Information Manager
479,National Training Manager
480,Global & EMEA Senior Brand Manager
481,Click Here NOW for TOP Regulatory Affairs Roles
482,Customer Success Manager (Drug Safety)
483,Medical Science Manager
484,Field Service Engineer
485,Maintenance Engineer
486,"Senior Manager Global Sourcing, Laboratory Equipment,"
487,Clinical Project Manager / Senior Clinical Project Manager
488,Clinical Nurse Specialist
489,Business Development Manager DS
490,Clinical Research Study Leader
491,Quantitative Clinical Pharmacology / PK
492,Territory Sales Manager
493,Software Eng / Consultant / Algorithm Development
494,Head of Medical Affairs
495,Senior Project Manager
496,*Sales & Marketing Director*
497,Research Manager
498,Senior Portfolio Manager
499,Research Assistant
500,Contracts Manager (Site Budget ) London
501,Senior Quality Compliance Engineer
502,"Director, Clinical Project Management ( Medical Devices)"
503,Head of Operations
504,Qualified Person QP
505,Business Intelligence Manager
506,Senior Associate Market Access
507,Senior Regulatory Consultant
508,FREELANCE: Account Manager
509,Network Sales Specialist
510,CRAs of all backgrounds sought for small CRO
511,Head of Medical Information
512,Senior Statistician (Oncology)
513,Global Clinical Trial Manager
514,TMF Processing Assistant
515,Clinical support specialist
516,"Clinical Research Manager, sponsor dedicated, Germany"
517,Senior Tooling Engineer
518,"QA Manager, Qualification and Validation"
519,Nanoparticle Formulation Scientist
520,Staff Nurse
521,Senior Recruiter Opportunity
522,Complaints Handling Engineer
523,PV Specialist
524,Marketing Co
525,Pharmacovigilance Specialist
526,PR Account Manager
527,SAS Statistical Programmer
528,Clinical Quality Auditing Specialist
529,Managing Consultant
530,"Regulatory CTA Submissions Manager, 12 month contract"
531,Entry Level Medical Advisor
532,Quality / Risk Manager (m / w) in der Zentralschweiz gesucht!
533,Clinical Research Assistant
534,Head of Quality and Regulatory
535,Medical Writer / Senior Medical Writer
536,"Global Regulatory Affairs Manager, EU / ROW"
537,Assistant RP/ Pharmacist
538,Associate Director Clinical Project Management
539,Data Coordinator 1
540,Hospital Regional Account Manager
541,Quality Assurance Officer
542,Senior Reg Associate
543,Interim Senior Clinical Data Manager
544,Global Medical Affairs Expert Oncology Global Oncologist
545,Hospital Key Account Manager
546,PV Systems Specialist
547,MEOR Medical Evidence Manager
548,Market Access Speciality Care
549,EQUIPMENT VALIDATION SPECIALIST
550,Site Contracts Analyst
551,Senior Biostatistician
552,"Account Director, Patient Communications"
553,Senior QA Engineer * Leading Swiss Med Dev Co * French / English
554,Quality Assurance Operations Support Supervisor
555,GLP Study Director
556,Senior Regulatory Affairs Manager
557,Clinical Project Administrator / Senior CPA
558,Int`l Medical Product Manager
559,Senior Analyst
560,Vigilance Reporting Specialist
561,Clinical Project Manager
562,Principal Medical Writer
563,Industrial Engineer Team Leader
564,GCP Specialist
565,Account Manager Healthcare PR
566,"Senior/ Medical Director, CNS"
567,Data Team Lead
568,Senior R& D project engineer
569,Sr Project Data Manager
570,Senior Medical technologist
571,Drug Safety Associate (Operations)
572,QA Validation Engineer
573,SAS Programmer
574,Technical Sales Representative
575,EHS Manager
576,Associate/ Drug Safety Specialist
577,Junior Account Executive
578,Director of Pharmacovigilance
579,Therapy Account Specialist
580,Senior Nurse Advisor
581,QP Pharmacovigilance (QPPV)
582,Head of Clinical Operations
583,Global Project Manager
584,UK Head of Quality Operations
585,Senior PV Manager
586,Staff Scientist (Histology)
587,Senior Risk & Compliance Manager
588,Drug Safety Openings
589,Medical Operations Manager (Hexham or Cardiff Hospital)
590,Administration Officer
591,"Experienced Medical Pharma Sales Representative, Cambridgeshire"
592,Regulatory Affairs Consultant
593,"GDP QA Manager, Hertfordshire"
594,QA Officer
595,Lead Process Engineer
596,Sub Investigator Clinical Trials
597,Biostatisticians / Senior Biostatisticians / Principle Statisticians
598,Sales Specialist Arthroplasty
599,R& D Engineer
600,International Head of Market Access & HEOR
601,Medical Director / Senior Medical Director
602,"Medical Advisor, Haematology, Munich"
603,Healthcare
604,Data Quality Lead
605,Brand Associate
606,QA techician / QC Inspector
607,Clinical Research Physician(GMC registered)
608,"Global Medical Lead, Psychiatry"
609,"Trainee or Experienced Pharma Medical Sales Representative, Bristol"
610,"Senior Clinical Regulatory Affairs Manager, Buckinghamshire"
611,Senior Pharmacovigilance Officer
612,Generic Brands
613,Endo
614,Snr Safety Scientist; Risk Management UK; Oncology
615,Field Service Engineer Lab Automation
616,SDTM Programmer
617,GCP Manager
618,Clinical Administrator
619,Project Management Director
620,Program Assistant
621,"Quality Assurance Contractor / Perm ( UK, Surrey)"
622,Director Medical Affairs
623,EMEAA Brand Manager
624,Hospital Sales Representative
625,"1 year FTC, Clinical Data Manager, CRO"
626,MSL Clinical Projects
627,MEDICAL SALES REPRESENTATIVE
628,Senior Pharmacovigilance Associate
629,Quality Assurance Associate
630,Scientist
631,Graduate Account Executive
632,Global Quality Lead (GLP)
633,Supplier / Product Quality Engineer
634,Medical Copywriter
635,"Regulatory Affairs Manager: Consultant, CMC"
636,Global Pharmacovigilance Quality Systems Manager
637,Junior CRA (TRILINGUAL )
638,Customer Service / Field Service Engineer
639,Clinical / PV Medical Writer
640,Clinical Pharmacokineticist
641,"Account Manager DENTAL , Brussels area"
642,Senior PV Specialist
643,Project Leader
644,Infusion Systems Sales Specialist
645,Director Regulatory Sciences
646,Community Account Manager
647,Head of BD and Licensing
648,Purchaser
649,Pharmacometrician
650,"Experienced Medical Pharma Sales Representative, Leicestershire"
651,"Account Manager, Lab Diagnostics: West Netherlands"
652,Technical Services Manager (Magnets)
653,Head of Regulatory Affairs & Quality
654,Senior Clinical Trials Specialist
655,Regional Sales Manager Iberia
656,Regulatory Information Management Specialist
657,Junior Programmer
658,QA Trainer
659,Marketing Associate or Product Manager
660,SCRA
661,Medical Director Urology / Nephrology EMEA
662,Principal Biostatistician
663,Calibration Engineer
664,Team Leader
665,Senior Sales Executive
666,(QP) Qualified Person (EU)
667,Quality assurance officer
668,Senior HVAC Engineer (design)
669,Clinical Program Director
670,Sales and Business Analyst
671,Medical Scientist Liaison
672,Head of Supplier Quality / Global Supplier Quality management
673,"Data Associate, 3 Month Contract, Manchester"
674,Safety Database Specialist
675,Unique package
676,Regional Medical Advisor North
677,Medical Device Marketing Consultant
678,KAM
679,"Trainee Medical Pharma Sales Representative, Dorset"
680,"Market Development Manager, Lab Diagnostics: Belgium"
681,Sales Account Manager
682,CPM based in South West UK
683,Head of Pharmacometrics
684,TERRITORY SALES MANAGER
685,Validation Manager
686,Business Analyst (HO based)
687,Surgical Territory Manager (Graduate)
688,Marketing Professional
689,Senior R& D Engineer
690,"Healthcare Compliance Manager, UK & Ireland"
691,Product Manager Medical Devices
692,CTA Submission Manager
693,Senior / Principal Health Economist
694,Diagnostic Laboratory Liaison
695,"Dutch speaking, QA Engineer"
696,Drug Safety Database Specialist
697,"Medical Advisor, Oncology"
698,C++ Programmer
699,Freelance Medical Editor
700,Medical Information Officer
701,Wanted: Mass Spectrometry Experience for Global Diagnostics Com
702,German Speaking Validation Engineer
703,GMP Biologics Operator
704,System
705,"Experienced Medical Pharma Sales Representative, Hampshire"
706,Commercialization & Brand Analytics
707,Oncology Team
708,Manufacturing Engineer
709,Technology Transfer Associate
710,Senior Medical Writer / progression to Department Manager
711,Principal Medical Writer / Scientific Team Leader
712,Service Co
713,Nurse / Wound Expert
714,Senior Research Director
715,AD / SAD / CSD level
716,Senior QC Officer
717,International Admin coordinator
718,Freelance Events Manager
719,Quality Engineer Medical (m / w) im Kanton St. Gallen / Schweiz
720,PR Account Executive
721,"Clinical Project Manager, Germany"
722,CLINICAL RISK ADVISOR
723,Senior Investigator
724,Clinical Care Nurse
725,Marketing Coordinator
726,Advertisement Account Director for global company
727,(Senior) Clinical Research Associate
728,Quality Control Manager
729,Senior Account Manager Med Comms
730,Supply Chain Manager(Senior)
731,Editorial Manager
732,Head Process Engineer
733,CRA II / Senior CRA Germany
734,Financial Controller
735,"Associate Director, Healthcare Compliance, EMEA"
736,ICSR Quality Management
737,Senior Manager Clinical Evaluation
738,Software Engineer
739,Specialist Brands KAM
740,Business Performance Analyst
741,Field Service Engineer (MRI / CT Medical Imaging Systems)
742,Freelance Regulatory Affairs Manager
743,IT Systems Solutions Specialsit
744,Design and Development Engineer
745,Graduate Medical Sales Executive
746,"Regulatory Affairs Manager, CMC, Lugano"
747,Pharmacovigilance Physician / Therapeutic Area Lead
748,Regulatory Affairs Associate
749,Regulatory Ecotoxicology Specialist
750,"Senior PV specialist, be a key player at Danish Biotech"
751,Service Sales Associate
752,Senior CMC Data Analyst
753,Senior Medical Information Scientist
754,Surgical Clinical Specialist
755,Global Senior Safety Physician
756,Chef de projet clinique international
757,Supply Chain Coordinator
758,Graduate Medical Writer
759,Global Medical Adviser
760,Senior Sourcing & Network Development Manager
761,Hospital Account Exec
762,Senior Pharmacovigilance Thought Lead
763,Above Country Medical Advisor Haem /Oncology
764,Supply Chain Manager
765,"Sales Manager EP, CRM"
766,Senior Manager
767,PK / PD Modeling and Simulation Director
768,Research Scientist
769,Lab Supervisor
770,Senior Process Design Engineer
771,Part Time Temporary Contract
772,"Business Development Lead, Market Access and HEOR"
773,Senior Clinical Project Manager Needed!
774,Senior Health Economics Manager
775,Service Engineer
776,Start
777,International UK based Medical Regulatory Affairs Associate
778,Senior Supplier Quality Assurance Auditor
779,Head of Production & Process Innovation
780,Global Regulatory Affairs
781,Eye Health Territory Manager
782,Clinical Trial Supply: Clinical Distribution Manager
783,Clinical Risk Advisor
784,Clinical Research Associate II
785,Pharmacovigilance Project Manager
786,Head of Finance
787,QC Officer
788,CSV Engineer
789,Director of Quality Assurance
790,Quality Assurance Manager
791,Process Document Manager
792,Medical Science Liaison / MSL
793,Operational Statistician
794,International Product Manager
795,Sales Training Manager
796,Lab Support and Materials Management Technician
797,Junior MSL (Medical Devices
798,Drug Safety Physician
799,Regulatory Affairs Director
800,Regulatory Quality Officer
801,Apheresis Operations Investigator
802,Big Data Engineer
803,Senior Principal
804,Validation Engineers
805,Product Sales Specialist
806,Regulatory Compliance Specialist
807,Laboratory Analyst
808,ASSOCIATE DIRECTOR
809,"Experienced Medical Pharma Sales Representative, Gloucestershire"
810,Clinical Trials Assistant
811,Interim Senior Medical Manager
812,Director of Health Economics
813,Quality Manager (QMS)
814,Territory Account Manager
815,International Sales Representative Diagnostics
816,*CRA or Senior CRA (f / m)
817,Software Engineering / Senior Software Engineer
818,Tech Transfer Manager
819,Sr SSU & Regulatory Specialist (Spain)
820,Clinical Consultant/Specialist
821,Healthcare Lab Technician for Biggest Healthcare Provider in CZ
822,Senior Java Developer | Java Engineer | J2EE Developer
823,Clinical Safety Coordinator
824,HR Payroll Specialist
825,Medical Devices Hospital Sales
826,Technical Specialist
827,Senior clinical research associate
828,Sales Manager
829,Are You a Post Doctoral Fellow? Medical Writer position
830,Medical Statistician
831,Inside Sales Executive
832,Global Head of Government Affairs
833,Customer Account Specialist
834,Head of Marketing Communications Manager
835,Digital Content Specialist
836,"Experienced Primary Care GP Medical Pharma Sales Rep, Surrey"
837,PhD. in Genetics and ready for a Fantastic Sales Career?
838,Engineering Support Technician
839,MEDICAL SCIENTIFIC LIAISON
840,Market Access
841,Clinical Trials Technician
842,Events Account Manager
843,Electrical Field Service Engineer (Industrial Systems)
844,Regulatory Submissions Coordinator
845,Quality Engineer medical devices
846,Experienced Biostatistician
847,"Qualified Person (QP), Site Head of Quality"
848,Senior Medical Information Specialist
849,QA Manager GCP
850,Equipment Validation Specialist
851,Regulatory Principal Consultant
852,Product and Market Access Manager
853,Field Service Engineer (CT / X
854,Bioscience Team Leader
855,"Project Coordinator, Spain"
856,Senior / Lead Process Engineer
857,*Senior Medical Writer
858,Clinical Research Nurse 1
859,Surgical Energy TM
860,Research and Development Specialist
861,Quality Assurance Manager (Medical Devices)
862,Statistician (Non
863,"Account Director Medical Education, London"
864,Biosimilars Project Lead in a state of the art start
865,Regs Manager (CTA submissions) 12 month contract
866,Oncologist / Haematologist Professional
867,"Drug Safety Manager, London"
868,Project Manager (Pre / Post Launch)
869,Quality System and Embedded Software Validation Consultant
870,Statistical Science Director
871,Director of Clinical
872,Auditor (On site GLP and GCP Audits)
873,Senior Product Manager
874,Health Technology Assessment Manager (HTA)
875,GMP Scientist
876,Supplier Quality Engineer
877,Surgical Nurse Advisor
878,Quality Systems Specialist
879,"Senior Medical Writer, London"
880,Senior Quality Manager (GMP)
881,Active & Software Medical Device Auditor
882,"Pharmacovigilance Director (UK, Surrey)"
883,AWC
884,Head of Statistical Modelling & Simulation Services
885,Principal SAS Programmer
886,Talent Development Partner / Organisational Development Manager
887,Associate Medical Publication Manager
888,EMEA Clinical Training Manager
889,Senior Medical Liaison Manager
890,"Senior Medical Science Liaison, Germany"
891,Be the new face of Bio
892,Market Access Strategy Manager
893,Sales Engineer
894,HEOR
895,"Trainee Medical Pharma Sales Representative, Hampshire"
896,Clinical Scientist
897,HR Assistant
898,Automation Engineer
899,Team Lead Safety Science
900,Analytical Chemist
901,Lead Validation Manager
902,Drug Safety Associate Scotland
903,Reliability Engineer
904,Graduate Drug Safety Specialist
905,"Snr Safety Physician, Safety Evaluation & Risk Management, Onco"
906,Therapy Account Specialist Diabetes
907,Manager
908,Global Medical Manager / Advisor
909,HR Advisor
910,Medical Affairs Manager Oncology
911,Senior Regulatory Affairs CMC Manager
912,Senior Auditor (GCP) Perm vacancy with some Home Working.
913,Senior Regulatory Affairs Consultant
914,Ass. Director of Pharmacovigilance (PV) Operations
915,QC Project Manager
916,Clinical Trials Management Associate
917,Medical Technologist
918,Production Manager
919,Supply Chain Planner
920,Director Regulatory Affairs
921,Customer Service Engineer
922,Local Account Manager
923,Drug Safety Asociate
924,Start up Specialist II
925,Brand Manager
926,Product Development Engineer
927,"Senior Clinical Trial Leader, Germany, Home Based"
928,__ Anatomic Pathologist
929,KEY ACCOUNT MANAGER
930,Pharmacovigilance Director
931,Sales Representative
932,Field Service engineer
933,General Manager / Managing Director Designate
934,Senior Manufacturing Engieer
